127.0.0.1 - - [14/Dec/2025 05:52:34] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:52:41] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:52:41] "GET /css/utils.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:52:41] "GET /css/calendar.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:52:41] "GET /css/header-img.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:52:41] "GET /css/close-btn.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:52:41] "GET /css/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:52:41] "GET /css/features.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:52:41] "GET /js/services/historyService.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:52:41] "GET /js/db.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:52:41] "GET /js/services/calendarService.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:52:41] "GET /js/services/imageService.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:52:41] "GET /js/services/eventService.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:52:41] "GET /js/services/settingsService.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:52:41] "GET /js/calendar-view.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:52:41] "GET /js/mega.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:52:41] "GET /js/ui.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:52:41] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:53:21] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:53:21] "GET /css/calendar.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:53:21] "GET /css/features.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:53:21] "GET /css/utils.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:53:21] "GET /css/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:53:21] "GET /css/header-img.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:53:21] "GET /css/close-btn.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:53:21] "GET /js/services/historyService.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:53:21] "GET /js/db.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:53:21] "GET /js/services/calendarService.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:53:21] "GET /js/services/eventService.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:53:21] "GET /js/services/imageService.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:53:21] "GET /js/services/settingsService.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:53:21] "GET /js/ui.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:53:21] "GET /js/calendar-view.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:53:21] "GET /js/mega.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:53:21] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:08] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:08] "GET /css/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:08] "GET /css/utils.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:08] "GET /css/features.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:08] "GET /css/calendar.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:08] "GET /css/close-btn.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:08] "GET /js/db.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:08] "GET /js/services/historyService.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:08] "GET /css/header-img.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:08] "GET /js/services/settingsService.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:08] "GET /js/services/eventService.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:08] "GET /js/services/imageService.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:08] "GET /js/calendar-view.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:08] "GET /js/services/calendarService.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:08] "GET /js/ui.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:08] "GET /js/mega.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:08] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:19] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:19] "GET /css/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:19] "GET /css/utils.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:19] "GET /css/calendar.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:19] "GET /css/close-btn.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:19] "GET /css/header-img.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:19] "GET /js/services/historyService.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:19] "GET /js/db.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:19] "GET /css/features.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:19] "GET /js/services/settingsService.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:19] "GET /js/services/eventService.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:19] "GET /js/services/imageService.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:19] "GET /js/ui.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:19] "GET /js/services/calendarService.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:19] "GET /js/mega.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:19] "GET /js/calendar-view.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:19] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:31] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:31] "GET /css/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:31] "GET /css/utils.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:31] "GET /css/close-btn.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:31] "GET /css/header-img.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:31] "GET /css/features.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:31] "GET /css/calendar.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:32] "GET /js/db.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:32] "GET /js/services/historyService.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:32] "GET /js/services/eventService.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:32] "GET /js/services/settingsService.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:32] "GET /js/services/imageService.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:32] "GET /js/services/calendarService.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:32] "GET /js/calendar-view.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:32] "GET /js/ui.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:32] "GET /js/mega.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:54:32] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:59:15] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:59:15] "GET /css/close-btn.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:59:15] "GET /css/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:59:15] "GET /css/utils.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:59:15] "GET /css/features.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:59:15] "GET /css/header-img.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:59:15] "GET /css/calendar.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:59:15] "GET /js/db.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:59:15] "GET /js/services/historyService.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:59:15] "GET /js/services/settingsService.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:59:15] "GET /js/services/eventService.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:59:15] "GET /js/services/imageService.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:59:15] "GET /js/services/calendarService.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:59:15] "GET /js/calendar-view.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:59:15] "GET /js/ui.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:59:15] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:59:15] "GET /js/mega.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:59:38] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:59:38] "GET /css/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:59:38] "GET /css/features.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Dec/2025 05:59:38] "GET /css/calendar.css HTTP/1.1" 200 -
